,Actual,Predicted
364873,0,0.0
309843,0,0.0
345153,0,0.0
296928,0,0.0
288488,0,0.0
12934,0,0.0
190255,0,0.0
63642,0,0.0
189877,0,0.0
9831,0,0.0
133428,0,0.0
378818,0,0.0
301631,0,0.0
307389,0,0.0
66794,0,0.0
126510,0,0.0
155454,0,0.0
334605,0,0.0
166497,0,0.0
350129,0,0.0
123674,0,0.0
278649,0,0.0
50160,0,0.0
46607,0,0.0
374403,0,0.0
190067,0,0.0
307463,0,0.0
245549,0,0.0
86864,0,0.0
324284,0,0.0
189547,0,0.0
223367,0,0.0
368526,0,0.0
268024,0,0.0
249670,0,0.0
15182,0,0.0
369984,0,0.0
70537,0,0.0
125072,0,0.0
139184,0,0.0
135684,0,0.0
353569,0,0.0
354050,0,0.0
93137,0,0.0
325695,0,0.0
90670,0,0.0
26207,0,0.0
34928,0,0.0
48036,0,0.0
68267,0,0.0
178050,0,0.0
113416,0,0.0
263122,0,0.0
115632,0,0.0
26604,0,0.0
234925,0,0.0
194075,0,0.0
67970,0,0.0
62492,0,0.0
121398,0,0.0
230975,0,0.0
381593,0,0.0
54760,0,0.0
384859,0,0.0
311709,0,0.0
384039,0,0.0
165856,0,0.0
251877,0,0.0
381283,0,0.0
27326,0,0.0
155822,0,0.0
99018,0,0.0
127469,1,1.0
229145,0,0.0
141524,0,0.0
219518,0,0.0
367640,0,0.0
128971,0,0.0
131389,0,0.0
266279,0,0.0
242734,0,0.0
335152,0,0.0
42042,0,0.0
186585,0,0.0
144703,0,0.0
309629,0,0.0
51396,0,0.0
26749,0,0.0
237845,0,0.0
47494,0,0.0
225711,0,0.0
358628,0,0.0
239068,0,0.0
139025,0,0.0
232438,0,0.0
325141,0,0.0
113457,0,0.0
24027,0,0.0
103503,0,0.0
277947,0,0.0
138818,0,0.0
133104,0,0.0
353664,0,0.0
66603,0,0.0
227319,0,0.0
383880,0,0.0
144175,0,0.0
310842,0,0.0
267275,0,0.0
48652,0,0.0
306012,0,0.0
244651,0,0.0
241423,0,0.0
175894,0,0.0
360994,0,0.0
59342,0,0.0
257604,0,0.0
70588,0,0.0
383014,0,0.0
215379,0,0.0
329546,0,0.0
323105,0,0.0
261629,0,0.0
67750,0,0.0
341775,0,0.0
265567,0,0.0
235176,0,0.0
17403,0,0.0
191510,0,0.0
219935,0,0.0
372848,0,0.0
342969,0,0.0
158514,0,0.0
273557,0,0.0
385632,0,0.0
159169,0,0.0
119207,0,0.0
103778,0,0.0
118026,0,0.0
240781,1,1.0
31568,0,0.0
269726,0,0.0
7881,0,0.0
41853,0,0.0
182720,0,0.0
12241,0,0.0
157121,0,0.0
26772,0,0.0
242602,0,0.0
140727,0,0.0
47599,0,0.0
244181,0,0.0
227383,0,0.0
194183,0,0.0
61303,0,0.0
379253,0,0.0
17796,0,0.0
129892,0,0.0
6353,0,0.0
322169,0,0.0
199366,0,0.0
119661,0,0.0
147337,0,0.0
353412,0,0.0
56836,0,0.0
72523,0,0.0
47988,0,0.0
281695,0,0.0
149437,0,0.0
14747,0,0.0
262837,0,0.0
15748,0,0.0
342700,0,0.0
84075,0,0.0
159025,0,0.0
263716,0,0.0
339962,0,0.0
365976,0,0.0
144892,0,0.0
335445,0,0.0
85114,0,0.0
43484,0,0.0
44567,0,0.0
250429,0,0.0
368013,0,0.0
88048,0,0.0
254265,0,0.0
254751,0,0.0
92786,0,0.0
245507,0,0.0
288176,0,0.0
223635,0,0.0
102942,0,0.0
182009,0,0.0
290437,0,0.0
3399,0,0.0
160814,0,0.0
345060,0,0.0
68334,0,0.0
263917,0,0.0
156972,0,0.0
145544,0,0.0
105447,0,0.0
335952,0,0.0
336895,0,0.0
165118,0,0.0
135330,0,0.0
73548,0,0.0
291761,0,0.0
194683,0,0.0
246513,0,0.0
110156,0,0.0
194393,0,0.0
88150,0,0.0
159089,0,0.0
152698,0,0.0
28145,0,0.0
238575,0,0.0
64152,0,0.0
263883,0,0.0
321030,0,0.0
139430,0,0.0
28114,0,0.0
363107,0,0.0
47766,0,0.0
172988,0,0.0
126716,0,0.0
44593,0,0.0
99665,0,0.0
272737,0,0.0
138049,0,0.0
35023,0,0.0
85798,0,0.0
133664,0,0.0
71788,0,0.0
132607,1,1.0
265856,0,0.0
331637,0,0.0
377725,0,0.0
259728,0,0.0
56442,0,0.0
300945,0,0.0
156731,0,0.0
189467,0,0.0
104676,0,0.0
60769,0,0.0
105046,0,0.0
15114,0,0.0
126938,0,0.0
280737,0,0.0
376677,0,0.0
191502,0,0.0
193952,0,0.0
92819,0,0.0
126630,0,0.0
120554,0,0.0
368751,0,0.0
224474,0,0.0
206115,0,0.0
247861,0,0.0
34621,0,0.0
376809,0,0.0
216290,0,0.0
251141,0,0.0
327551,0,0.0
113501,0,0.0
303338,0,0.0
47338,0,0.0
335409,0,0.0
235505,0,0.0
334638,0,0.0
336421,0,0.0
81736,0,0.0
50544,0,0.0
375532,0,0.0
160474,0,0.0
19785,0,0.0
261902,0,0.0
253122,0,0.0
273798,0,0.0
249472,0,0.0
193828,0,0.0
43541,0,0.0
129119,0,0.0
307107,0,0.0
348388,0,0.0
212774,0,0.0
239607,0,0.0
243071,0,0.0
289167,0,0.0
57101,0,0.0
159351,0,0.0
61838,0,0.0
308646,0,0.0
793,0,0.0
235232,0,0.0
30389,0,0.0
316592,0,0.0
214631,0,0.0
280302,0,0.0
223693,0,0.0
49868,0,0.0
233616,0,0.0
131027,0,0.0
359595,0,0.0
327084,0,0.0
312842,0,0.0
52100,0,0.0
47795,0,0.0
225234,0,0.0
169184,0,0.0
143057,0,0.0
101835,0,0.0
97267,0,0.0
270464,0,0.0
283678,0,0.0
185513,0,0.0
283116,0,0.0
383669,0,0.0
170190,0,0.0
59944,0,0.0
208894,0,0.0
204116,0,0.0
15649,0,0.0
301477,0,0.0
299053,0,0.0
354655,0,0.0
40373,0,0.0
370859,0,0.0
55684,0,0.0
100226,0,0.0
28631,0,0.0
334120,0,0.0
242629,0,0.0
162586,0,0.0
322517,0,0.0
127391,0,0.0
148063,0,0.0
149279,0,0.0
16643,0,0.0
110518,0,0.0
21258,0,0.0
22068,0,0.0
256648,0,0.0
141411,0,0.0
191557,0,0.0
2625,0,0.0
203158,0,0.0
169922,0,0.0
339623,0,0.0
305533,0,0.0
63516,0,0.0
234189,0,0.0
377104,0,0.0
180500,0,0.0
151641,0,0.0
121465,0,0.0
305959,0,0.0
288759,0,0.0
152363,0,0.0
151434,0,0.0
127748,0,0.0
174832,0,0.0
354730,0,0.0
256345,0,0.0
269362,0,0.0
43760,0,0.0
5496,0,0.0
310572,0,0.0
164294,0,0.0
38428,0,0.0
43564,0,0.0
305274,0,0.0
77798,0,0.0
50498,0,0.0
170551,0,0.0
258602,0,0.0
139853,0,0.0
303938,0,0.0
371889,0,0.0
36238,0,0.0
39474,0,0.0
111549,0,0.0
253135,0,0.0
37168,0,0.0
54070,0,0.0
183924,0,0.0
38520,0,0.0
291703,0,0.0
94470,0,0.0
90949,0,0.0
269717,0,0.0
312063,0,0.0
270845,0,0.0
203073,0,0.0
39433,0,0.0
13252,0,0.0
373602,0,0.0
71472,0,0.0
286160,0,0.0
112963,0,0.0
359989,0,0.0
34532,0,0.0
149535,0,0.0
192844,0,0.0
73444,0,0.0
274017,0,0.0
67670,0,0.0
85093,0,0.0
79571,0,0.0
341819,0,0.0
180412,0,0.0
341582,0,0.0
135103,0,0.0
306201,0,0.0
357991,0,0.0
312000,0,0.0
341397,0,0.0
59007,0,0.0
140073,0,0.0
341290,0,0.0
348565,0,0.0
99453,0,0.0
185380,0,0.0
146420,0,0.0
25115,0,0.0
78326,0,0.0
374893,0,0.0
273386,0,0.0
350650,0,0.0
153100,0,0.0
156040,0,0.0
313727,0,0.0
42219,0,0.0
155497,0,0.0
227617,0,0.0
149001,0,0.0
268562,0,0.0
222431,0,0.0
240298,0,0.0
99207,0,0.0
126121,1,0.0
69497,0,0.0
255213,0,0.0
310806,0,0.0
32867,0,0.0
305937,0,0.0
168462,0,0.0
180438,0,0.0
216707,0,0.0
309823,0,0.0
205509,0,0.0
165628,0,0.0
344558,0,0.0
384422,0,0.0
280877,0,0.0
227245,0,0.0
239752,0,0.0
9270,0,0.0
30006,0,0.0
68380,0,0.0
336790,0,0.0
25084,0,0.0
259824,0,0.0
226437,0,0.0
234242,0,0.0
139515,0,0.0
315158,0,0.0
257905,0,0.0
160365,0,0.0
265520,0,0.0
81279,0,0.0
263179,0,0.0
268080,1,0.0
381742,0,0.0
359669,1,0.0
39412,0,0.0
352169,0,0.0
199974,0,0.0
88031,0,0.0
60745,0,0.0
90176,0,0.0
78075,0,0.0
175530,0,0.0
34127,0,0.0
373345,0,0.0
4186,0,0.0
355597,0,0.0
62408,0,0.0
369297,0,0.0
76919,0,0.0
153921,0,0.0
56479,0,0.0
249628,0,0.0
57586,0,0.0
240636,0,0.0
198380,0,0.0
1346,1,1.0
22450,0,0.0
94112,0,0.0
239269,0,0.0
39537,0,0.0
237599,0,0.0
142982,0,0.0
93123,0,0.0
317300,0,0.0
349866,0,0.0
330364,0,0.0
195513,0,0.0
164171,0,0.0
21214,0,0.0
313177,0,0.0
209339,0,0.0
290089,0,0.0
306564,0,0.0
299174,0,0.0
217731,0,0.0
194872,0,0.0
74479,0,0.0
139832,0,0.0
183189,0,0.0
373483,0,0.0
131480,0,0.0
381895,0,0.0
294909,0,0.0
322226,0,0.0
191495,0,0.0
186590,0,0.0
958,0,0.0
2041,0,0.0
271653,0,0.0
60621,0,0.0
177159,0,0.0
297999,0,0.0
311116,0,0.0
354169,0,0.0
322756,0,0.0
249239,0,0.0
28690,0,0.0
175834,0,0.0
47914,0,0.0
111063,0,0.0
161045,0,0.0
136853,0,0.0
275209,0,0.0
340621,0,0.0
41964,0,0.0
28691,0,0.0
247775,0,0.0
355019,0,0.0
212115,0,0.0
43856,0,0.0
21267,0,0.0
280528,0,0.0
376036,0,0.0
82408,0,0.0
48490,0,0.0
120213,0,0.0
51067,0,0.0
362408,0,0.0
37819,0,0.0
109543,0,0.0
296586,0,0.0
8786,0,0.0
42390,0,0.0
252445,0,0.0
226747,0,0.0
137497,0,0.0
22346,0,0.0
20462,0,0.0
297937,0,0.0
289236,0,0.0
302783,0,0.0
63539,1,0.0
10995,0,0.0
214090,0,0.0
226189,0,0.0
222516,0,0.0
37391,0,0.0
194830,0,0.0
56163,0,0.0
44781,0,0.0
275445,0,0.0
30250,0,0.0
31356,0,0.0
55743,0,0.0
191087,0,0.0
116272,0,0.0
167671,0,0.0
157725,0,0.0
264969,0,0.0
357036,0,0.0
356477,0,0.0
380458,0,0.0
349009,0,0.0
176566,0,0.0
66214,0,0.0
198714,0,0.0
371462,0,0.0
220837,0,0.0
252282,0,0.0
215813,0,0.0
100878,0,0.0
233334,0,0.0
319783,0,0.0
323321,0,0.0
319185,0,0.0
10869,0,0.0
233101,0,0.0
367156,0,0.0
164017,0,0.0
107509,0,0.0
85560,0,0.0
370082,0,0.0
221764,0,0.0
180319,0,0.0
199912,0,0.0
34573,0,0.0
278232,0,0.0
168368,0,0.0
249200,0,0.0
67015,0,0.0
217342,0,0.0
291898,0,0.0
145639,0,0.0
333061,0,0.0
231529,0,0.0
117476,0,0.0
19774,0,0.0
185609,0,0.0
323313,0,0.0
175271,0,0.0
48668,0,0.0
167013,0,0.0
120378,0,0.0
228423,0,0.0
175521,0,0.0
138695,0,0.0
153037,0,0.0
126107,0,0.0
273855,0,0.0
15106,0,0.0
125681,0,0.0
164488,0,0.0
126306,0,0.0
109679,0,0.0
72545,0,0.0
64446,0,0.0
105201,0,0.0
153213,0,0.0
167514,1,0.0
253858,0,0.0
261044,0,0.0
290818,0,0.0
142045,0,0.0
3148,0,0.0
50069,0,0.0
66988,0,0.0
299804,0,0.0
322477,0,0.0
137747,0,0.0
30323,0,0.0
206860,0,0.0
252986,0,0.0
364166,0,0.0
134726,0,0.0
2975,0,0.0
90792,0,0.0
103088,0,0.0
43728,0,0.0
163614,0,0.0
162612,0,0.0
118826,0,0.0
288221,0,0.0
288421,0,0.0
226786,0,0.0
209174,0,0.0
374138,0,0.0
24751,0,0.0
324381,0,0.0
70504,0,0.0
197150,0,0.0
29278,0,0.0
124750,0,0.0
18009,0,0.0
13359,0,0.0
355054,0,0.0
282655,0,0.0
101815,0,0.0
345769,0,0.0
27900,0,0.0
19437,0,0.0
309970,0,0.0
351510,0,0.0
316105,0,0.0
352936,0,0.0
9571,0,0.0
70470,0,0.0
2541,0,0.0
139662,0,0.0
360307,0,0.0
300258,0,0.0
65387,0,0.0
286114,0,0.0
49013,0,0.0
222402,0,0.0
241440,0,0.0
375905,0,0.0
7742,0,0.0
24616,0,0.0
38406,0,0.0
262833,0,0.0
192619,0,0.0
144469,0,0.0
9643,0,0.0
274120,0,0.0
14112,0,0.0
184830,0,0.0
124836,0,0.0
216089,0,0.0
288927,0,0.0
339448,0,0.0
2330,0,0.0
254521,0,0.0
364672,0,0.0
33158,0,0.0
373931,0,0.0
51010,0,0.0
339115,0,0.0
328984,0,0.0
116992,0,0.0
95716,0,0.0
36547,0,0.0
31071,0,0.0
83326,0,0.0
18356,0,0.0
1579,0,0.0
212178,0,0.0
78219,0,0.0
153859,0,0.0
379166,0,0.0
2061,0,0.0
231589,0,0.0
172212,0,0.0
79474,0,0.0
190822,0,0.0
24328,0,0.0
219539,0,0.0
358903,0,0.0
243644,0,0.0
135793,0,0.0
166128,0,0.0
262546,0,0.0
53021,0,0.0
365252,0,0.0
80098,0,0.0
86015,1,0.0
265601,0,0.0
325666,0,0.0
339377,0,0.0
85497,0,0.0
104720,0,0.0
298201,0,0.0
311664,0,0.0
156858,0,0.0
280072,0,0.0
5703,0,0.0
283686,0,0.0
381998,0,0.0
297374,0,0.0
208726,0,0.0
68581,0,0.0
165354,0,0.0
126093,0,0.0
128467,0,0.0
233843,0,0.0
126593,0,0.0
150412,0,0.0
314873,0,0.0
129042,0,0.0
287780,0,0.0
279657,0,0.0
108815,1,1.0
59945,0,0.0
93970,0,0.0
92434,0,0.0
246696,0,0.0
384779,0,0.0
279411,0,0.0
12108,0,0.0
321501,0,0.0
317543,0,0.0
21200,0,0.0
98611,0,0.0
4156,0,0.0
184071,0,0.0
184428,0,0.0
311346,0,0.0
203645,0,0.0
265264,0,0.0
75435,0,0.0
128010,0,0.0
53869,0,0.0
176221,0,0.0
255926,0,0.0
377785,0,0.0
107061,0,0.0
289046,0,0.0
64633,0,0.0
21735,0,0.0
3179,0,0.0
26983,0,0.0
70573,0,0.0
47888,0,0.0
19168,0,0.0
47773,0,0.0
366185,0,0.0
249771,0,0.0
280557,0,0.0
79763,0,0.0
255889,0,0.0
61696,0,0.0
355368,0,0.0
79918,0,0.0
117928,0,0.0
26885,0,0.0
257046,0,0.0
96138,0,0.0
174596,0,0.0
169197,0,0.0
158610,0,0.0
113112,0,0.0
305003,0,0.0
277963,0,0.0
157862,0,0.0
213310,0,0.0
78404,1,1.0
266395,0,0.0
275486,0,0.0
385661,0,0.0
156594,0,0.0
131200,0,0.0
249272,0,0.0
151355,0,0.0
315599,0,0.0
136016,0,0.0
207856,0,0.0
353574,0,0.0
99169,0,0.0
115387,0,0.0
77056,0,0.0
264285,0,0.0
164072,0,0.0
81797,0,0.0
219390,0,0.0
145656,0,0.0
44888,0,0.0
75334,0,0.0
204298,0,0.0
43322,0,0.0
159739,0,0.0
41468,0,0.0
45959,0,0.0
7529,0,0.0
283447,0,0.0
128765,0,0.0
158409,0,0.0
273996,0,0.0
144027,0,0.0
180642,0,0.0
90719,0,0.0
319319,0,0.0
107896,0,0.0
213363,0,0.0
205144,0,0.0
90427,0,0.0
270364,0,0.0
371527,0,0.0
372292,0,0.0
161643,0,0.0
330943,0,0.0
199589,0,0.0
150678,0,0.0
222992,0,0.0
282249,0,0.0
163532,0,0.0
295351,0,0.0
205986,0,0.0
299359,0,0.0
196634,0,0.0
79009,0,0.0
29329,0,0.0
13542,0,0.0
108892,0,0.0
129636,0,0.0
188276,0,0.0
85874,0,0.0
58574,0,0.0
268982,0,0.0
275760,0,0.0
23965,0,0.0
232766,0,0.0
91157,0,0.0
162360,0,0.0
52875,0,0.0
274077,0,0.0
272869,0,0.0
151303,0,0.0
150577,0,0.0
157057,0,0.0
77604,0,0.0
240094,0,0.0
31327,0,0.0
42099,0,0.0
22330,0,0.0
53781,0,0.0
248521,0,0.0
69477,0,0.0
93302,0,0.0
219751,0,0.0
154914,0,0.0
172985,0,0.0
20556,0,0.0
189384,0,0.0
183630,0,0.0
72411,0,0.0
368940,0,0.0
74655,0,0.0
179432,0,0.0
305801,0,0.0
99800,0,0.0
367043,0,0.0
126616,0,0.0
169851,0,0.0
209639,0,0.0
307678,0,0.0
221381,0,0.0
320283,0,0.0
285859,0,0.0
353893,0,0.0
10773,0,0.0
42012,0,0.0
122832,1,0.0
138261,0,0.0
61336,0,0.0
298271,0,0.0
236843,0,0.0
238523,0,0.0
221225,0,0.0
228729,0,0.0
331763,0,0.0
130038,0,0.0
28424,0,0.0
52466,0,0.0
359800,0,0.0
97232,0,0.0
104975,1,0.0
215060,0,0.0
360119,0,0.0
381736,0,0.0
331617,0,0.0
130874,0,0.0
282399,0,0.0
279602,0,0.0
315396,0,0.0
159345,0,0.0
205234,0,0.0
157904,0,0.0
220875,0,0.0
332549,0,0.0
145275,0,0.0
228339,0,0.0
143231,0,0.0
144581,0,0.0
296284,0,0.0
333339,0,0.0
208572,0,0.0
269312,0,0.0
1027,0,0.0
199164,0,0.0
13389,0,0.0
174519,1,0.0
213197,0,0.0
161812,0,0.0
308333,0,0.0
370687,0,0.0
339216,0,0.0
271018,0,0.0
25889,0,0.0
217163,0,0.0
349155,0,0.0
206799,0,0.0
364219,0,0.0
72317,0,0.0
138837,0,0.0
225286,0,0.0
118955,0,0.0
271151,0,0.0
181970,0,0.0
198244,0,0.0
325440,0,0.0
35621,0,0.0
220756,0,0.0
256789,0,0.0
258379,0,0.0
372822,0,0.0
271187,0,0.0
346150,0,0.0
169172,0,0.0
315589,0,0.0
114040,0,0.0
220610,0,0.0
296619,0,0.0
127343,0,0.0
183355,0,0.0
35314,0,0.0
315385,0,0.0
18035,0,0.0
156694,0,0.0
157522,0,0.0
250701,0,0.0
102934,0,0.0
331087,0,0.0
182204,0,0.0
246921,0,0.0
267403,0,0.0
211731,0,0.0
260314,0,0.0
384944,0,0.0
255545,0,0.0
149531,0,0.0
379802,0,0.0
300682,0,0.0
376245,0,0.0
44303,0,0.0
244932,0,0.0
147034,0,0.0
90749,0,0.0
140810,0,0.0
365341,0,0.0
320291,0,0.0
147199,0,0.0
141269,0,0.0
236844,0,0.0
45446,0,0.0
317781,0,0.0
216172,0,0.0
371499,0,0.0
69928,0,0.0
130579,0,0.0
78025,0,0.0
374661,0,0.0
127575,0,0.0
177898,0,0.0
59923,0,0.0
352233,1,0.0
200861,0,0.0
305396,0,0.0
378539,0,0.0
249253,0,0.0
357262,0,0.0
109664,0,0.0
321778,0,0.0
298753,0,0.0
231630,0,0.0
77509,0,0.0
108328,0,0.0
82333,0,0.0
273585,0,0.0
138320,0,0.0
166602,0,0.0
316235,0,0.0
77328,0,0.0
10386,0,0.0
68528,0,0.0
332276,0,0.0
231936,0,0.0
215908,0,0.0
227149,0,0.0
346410,0,0.0
321841,0,0.0
71122,1,0.0
22546,0,0.0
281516,0,0.0
203232,0,0.0
184054,0,0.0
384678,0,0.0
17768,0,0.0
338579,0,0.0
356261,0,0.0
193996,0,0.0
236374,0,0.0
188112,0,0.0
172602,0,0.0
221906,0,0.0
286502,0,0.0
121437,0,0.0
165181,0,0.0
198494,0,0.0
341506,0,0.0
378724,0,0.0
130411,0,0.0
241066,0,0.0
138225,0,0.0
358205,0,0.0
352816,0,0.0
194766,0,0.0
378291,0,0.0
139718,0,0.0
42272,0,0.0
5737,0,0.0
62523,0,0.0
278106,0,0.0
87168,0,0.0
136493,1,0.0
16300,0,0.0
120174,0,0.0
348031,0,0.0
234847,0,0.0
325721,0,0.0
14485,0,0.0
300341,0,0.0
217409,0,0.0
317681,0,0.0
266389,0,0.0
103200,0,0.0
67489,0,0.0
290080,0,0.0
60675,0,0.0
252911,0,0.0
224957,0,0.0
117772,0,0.0
119494,0,0.0
360999,0,0.0
83145,0,0.0
151281,0,0.0
322067,0,0.0
308884,0,0.0
68856,0,0.0
217285,0,0.0
252964,0,0.0
10317,0,0.0
260628,0,0.0
371239,0,0.0
286551,0,0.0
293978,0,0.0
323172,0,0.0
65728,0,0.0
352107,0,0.0
165636,0,0.0
211445,0,0.0
325589,0,0.0
33770,0,0.0
159077,0,0.0
249496,0,0.0
238228,0,0.0
321065,0,0.0
157811,0,0.0
293918,0,0.0
125305,0,0.0
205535,0,0.0
7251,0,0.0
273434,0,0.0
209844,0,0.0
159343,0,0.0
13423,0,0.0
201196,0,0.0
203457,0,0.0
194775,0,0.0
181791,0,0.0
306287,0,0.0
236516,0,0.0
281134,0,0.0
371024,0,0.0
277593,0,0.0
180397,0,0.0
378966,0,0.0
299486,0,0.0
373375,0,0.0
243779,0,0.0
175311,0,0.0
40280,0,0.0
192865,0,0.0
74622,0,0.0
178107,0,0.0
164500,0,0.0
163,0,0.0
205457,0,0.0
87125,0,0.0
130628,0,0.0
318525,0,0.0
331214,0,0.0
16526,0,0.0
142254,0,0.0
188003,0,0.0
328700,0,0.0
186277,0,0.0
208009,0,0.0
206239,0,0.0
70731,0,0.0
175042,0,0.0
61409,0,0.0
317316,0,0.0
340540,0,0.0
21609,0,0.0
263834,0,0.0
182443,0,0.0
96542,0,0.0
373133,0,0.0
346930,0,0.0
199892,0,0.0
107430,0,0.0
362574,0,0.0
23652,0,0.0
13357,0,0.0
105954,0,0.0
319034,0,0.0
250289,0,0.0
40811,0,0.0
371701,0,0.0
158266,0,0.0
197207,0,0.0
39933,0,0.0
274983,0,0.0
331466,0,0.0
85234,0,0.0
77001,0,0.0
65056,0,0.0
54624,0,0.0
190005,0,0.0
30736,0,0.0
368532,0,0.0
24769,0,0.0
167640,0,0.0
146326,0,0.0
189853,0,0.0
102679,0,0.0
176837,0,0.0
69115,0,0.0
203271,0,0.0
38009,0,0.0
72528,0,0.0
58611,0,0.0
337014,0,0.0
1331,0,0.0
49479,0,0.0
225291,0,0.0
70058,0,0.0
344426,0,0.0
361978,0,0.0
189544,0,0.0
